rank,best_test_acc,fold_std,folds_completed,fold_scores,extractor,overrides,status,checkpoint,error
1,0.7001971900463104,0.013678807818043287,3,0.6871;0.7191;0.6944,bilstm,balance_identities=False,ok,C:\Users\thelu\Desktop\GIT\XRSec\pilot_balance5\6de2a9badf\runs\bilstm_65a04693fa_fold0\best.pth,
2,0.6706370810667673,0.01876206141962891,3,0.695;0.6493;0.6676,bilstm,balance_identities=True,ok,C:\Users\thelu\Desktop\GIT\XRSec\pilot_balance5\6de2a9badf\runs\bilstm_1ae3b5c04e_fold0\best.pth,
