user,game,mean_x,mean_y,mean_z,rows
g1o1u00,beat_saber,-0.0730123926684133,1.4194616319344893,-0.13350647287703463,73870
g1o1u00,cooking_simulator,0.08285308150020876,1.4011758464811426,0.66733197043747,79912
g1o1u01,beat_saber,-0.013045562383803987,1.50714032413143,-0.03967079338400302,67957
g1o1u01,cooking_simulator,-0.11773802360244653,1.436277773226563,-0.17444531316330952,55443
g1o1u02,beat_saber,-0.83993711457168,1.5841662500892093,-1.0935552340985888,58847
g1o1u02,cooking_simulator,0.11620856478009567,1.5008435959302826,-0.5249296062104213,53763
g1o1u03,beat_saber,0.03298682982282313,1.609106372952089,0.11718497171222314,61343
g1o1u03,cooking_simulator,-0.3832083362382922,1.5148371614437224,0.2613461191546798,78436
g1o1u04,beat_saber,0.0001676670029860002,1.5039864465061872,-0.03520345432757934,70167
g1o1u04,cooking_simulator,-0.6336062201433075,1.4663670072162558,0.9083520504439432,39217
g1o1u05,beat_saber,-1.375517242979435,1.5532427294050122,0.6477900378220149,74994
g1o1u05,cooking_simulator,-0.03583340500096707,1.5023226995496344,-0.6676966520512417,101471
g1o1u06,beat_saber,0.13085960355067763,1.7132280311897023,-0.2184499823603294,61174
g1o1u06,cooking_simulator,0.7972320917511694,1.679304235507626,-0.08386071442978213,36364
g1o1u07,beat_saber,0.489609445309017,1.7206447396875586,0.8989145281411569,133989
g1o1u07,cooking_simulator,-1.1805701308056273,1.671006764280566,-0.01706595323483456,116032
g1o1u08,beat_saber,-0.06763544273659991,1.5336944858147974,-0.3815576432405139,69368
g1o1u08,cooking_simulator,0.27711387876433263,1.5357040363196814,-0.11501750089482113,76102
g1o1u09,beat_saber,0.003721410296204626,1.6355437989266632,-0.0029710885632056147,67453
g1o1u09,cooking_simulator,0.14096900213983163,1.5991361372444592,0.6609212499758473,45051
g1o1u10,beat_saber,0.059768959104156874,1.6450563992654448,-0.3485282922467793,65618
g1o1u10,cooking_simulator,-0.31986640553395423,1.5676016696098358,-0.25808397668907834,37035
g1o1u11,beat_saber,-0.1312158535733361,1.5289315784355344,-1.0063191387393553,77739
g1o1u11,cooking_simulator,-0.15516955270761362,1.4721897246895503,-0.023718256840845546,74327
g1o1u12,beat_saber,0.10973881376047857,1.5394935663593683,0.13945819820920657,64000
g1o1u12,cooking_simulator,-0.3573937097705182,1.5038436798178783,-0.3830367060688228,79942
g1o1u13,beat_saber,0.1574589210735382,1.5993966709333192,-0.07394288956374809,80391
