rank,best_test_acc,fold_std,folds_completed,fold_scores,extractor,overrides,status,checkpoint,error
1,0.6808642446994781,0.018824906437857575,3,0.6899;0.698;0.6547,bilstm,balance_identities=True,ok,C:\Users\thelu\Desktop\GIT\XRSec\pilot_balance\f8de6373a8\runs\bilstm_1ae3b5c04e_fold0\best.pth,
2,0.6766810715198517,0.014693397694315862,3,0.687;0.6559;0.6871,bilstm,balance_identities=False,ok,C:\Users\thelu\Desktop\GIT\XRSec\pilot_balance\f8de6373a8\runs\bilstm_65a04693fa_fold0\best.pth,
